+----------------------------------------------------------------------
|  File: profile.txt
|  Date: 2008.07.23 00:43:29 AM
+----------------------------------------------------------------------


+--------------------------------------
| Most expensive methods (by net time)
| Frame Count Limit: Unlimited
+--------------------------------------

               Net
          ------------
 Count     Time    Pct  Location
 =====     ====    ===  ========
     1  15079.5   47.5  simpull.SimpullTest:<init>
 24940   3810.5   12.1  simpull.SimpleSpring$SpringParticle:updatePosition
117720   3282.3   10.4  simpull.SimpullCollection:detectCollisionDelegate
 49400   2676.1    8.5  simpull.SimpullCollection:detectCollisionDelegate
    20   2581.6    8.2  simpull.Group:checkCollisionGroupInternal
    60   2195.9    7.0  simpull.SimpullCollection:checkCollisionsVsCollection
 29580   1671.0    5.3  simpull.SimpullCollection:testCollisionOBBvsOBB
 24960   1409.8    4.5  simpull.SimpullCollection:testCollisionOBBvsCircle
 24940   1386.9    4.4  simpull.SimpullCollection:testCollisionOBBvsCircle
 21120   1192.2    3.8  simpull.SimpullCollection:testCollisionOBBvsOBB
 56100   1179.3    3.7  simpull.SimpullCollection:testCollisionDelegate
 56100   1174.0    3.7  simpull.SimpullCollection:detectCollisionNormVsNorm
 49400   1045.8    3.3  simpull.SimpullCollection:detectCollisionNormVsNorm
 49400   1041.9    3.3  simpull.SimpullCollection:testCollisionDelegate
 24940    926.8    2.9  simpull.Rectangle:setRotation
 24940    530.4    1.7  simpull.SimpleSpring:getRotation
 24940    513.3    1.6  simpull.SimpleSpring:getCenter
112200    484.8    1.5  simpull.Particle:getMultisample
 98800    423.3    1.3  simpull.Particle:getMultisample
 62640    276.9    0.9  simpull.Rectangle:getProjection
 44414    193.3    0.6  simpull.Rectangle:getProjection
  3340    182.8    0.6  simpull.SimpullCollection:testCollisionCirclevsCircle
  1180    171.0    0.5  simpull.SimpleSpring:resolve
 37060    159.0    0.5  simpull.SimpleSpring:isCollidable
 31320    135.4    0.4  simpull.SimpullCollection:testIntervals
 24940    120.5    0.4  simpull.SimpleSpring$SpringParticle:getRectHeight
 24940    119.2    0.4  simpull.Rectangle:setAxes
 26632    117.5    0.4  simpull.Rectangle:getProjection
  1560    116.5    0.4  simpull.SimpullCollection:testCollisionCirclevsCircle
 26632    116.2    0.4  simpull.Circle:getProjection
 26632    114.4    0.4  simpull.SimpullCollection:testIntervals
 24940    110.6    0.4  simpull.Rectangle:setWidth
 25629    110.6    0.4  simpull.Rectangle:getProjection
 25629    109.9    0.3  simpull.SimpullCollection:testIntervals
 25629    109.7    0.3  simpull.Circle:getProjection
 24940    109.0    0.3  simpull.SimpleSpring:isConnectedTo
 24940    107.5    0.3  simpull.SimpleSpring$SpringParticle:getRectScale
 24940    107.4    0.3  simpull.SimpleSpring:getFixed
 24940    107.3    0.3  simpull.SimpleSpring:getCollisionParticle
 24940    107.2    0.3  simpull.Particle:setRotation
 24940    107.2    0.3  simpull.Vector2f:<init>
 24940    107.0    0.3  simpull.Vector2f:<init>
 24940    107.0    0.3  simpull.Rectangle:setHeight
 24940    106.9    0.3  simpull.SimpleSpring:getRestLength
 22207     96.8    0.3  simpull.SimpullCollection:testIntervals
   135     65.7    0.2  simpull.SimpullCollection:initiateCollisionResponse
    20     43.2    0.1  simpull.events.EventManager:manageEvents
    20     35.7    0.1  simpull.SimpullCollection:integrate
  1920     31.1    0.1  simpull.Particle:update
  7080     30.1    0.1  simpull.Particle:getInvMass
  6680     29.0    0.1  simpull.Circle:getIntervalX
  6260     27.2    0.1  simpull.SimpleSpring:isCollidable
  1180     23.6    0.1  simpull.SimpleSpring:getCurrLength
    45     23.3    0.1  simpull.SimpullCollection:initiateCollisionResponse
   144     21.9    0.1  simpull.Wheel:resolve
    60     18.3    0.1  simpull.SimpullCollection:satisfyConstraints
   260     17.1    0.1  simpull.Particle:update
  3360     14.8    0.0  simpull.SimpullCollection:testIntervals
   220     14.8    0.0  simpull.Particle:update
    96     14.2    0.0  simpull.Particle:<init>
   270     14.0    0.0  simpull.SimpullCollection:populateCollision
  3120     13.5    0.0  simpull.Circle:getIntervalX
  2660     11.5    0.0  simpull.Particle:getEventQueue
   260     11.3    0.0  simpull.Wheel:update
   308     11.2    0.0  simpull.Particle:getCenter
     1     11.0    0.0  simpull.SimpullTest:load
   144     10.0    0.0  simpull.Wheel:respondToCollision
  2160      9.1    0.0  simpull.SimpullCollection:testIntervals
    56      7.9    0.0  simpull.SimpleSpring$SpringParticle:closestPtSegmentSegment
    28      7.9    0.0  simpull.Composite:rotateBy
   340      7.6    0.0  simpull.Particle:getVelocity
   180      6.6    0.0  simpull.SimpleSpring$SpringParticle:getInvMass
  1180      5.9    0.0  simpull.Vector2f:<init>
  1350      5.9    0.0  simpull.Particle:getInvMass
  1200      5.6    0.0  simpull.Circle:getIntervalY
   144      5.5    0.0  simpull.Particle:addCollisionEvent
   270      5.5    0.0  simpull.Collision:copy
   270      5.3    0.0  simpull.Particle:getVelocity
  1180      5.2    0.0  simpull.SimpleSpring:getRestLength
